client,model,question_id,category,status,score_0_to_5,scorer_notes,hallucination_count,missed_source_risk,scoring_basis
codex,gpt-5.4,Q003,Wiki architecture and provenance,completed,2,"Gives correct total and broad structured/unstructured grouping, but omits all six per-format counts required by rubric.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q003,Wiki architecture and provenance,completed,5,All six file format counts are correct.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q003,Wiki architecture and provenance,completed,5,All required format counts are correct.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q003,Wiki architecture and provenance,completed,5,Correctly lists all six source formats and counts.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q004,Wiki architecture and provenance,completed,5,All four required values are correct with lint report citation.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q004,Wiki architecture and provenance,completed,5,"Includes generation time, source count, note count, issue count, and lint report source.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q004,Wiki architecture and provenance,completed,5,All four lint report values are correct and source is cited.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q004,Wiki architecture and provenance,completed,5,All four lint report values are correct.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q004,Wiki architecture and provenance,completed,0,Does not answer the requested lint report values and misses the required lint report evidence.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q005,Wiki architecture and provenance,completed,5,All five source IDs and corresponding flags are correct.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q005,Wiki architecture and provenance,completed,5,All five source IDs and their flags/reasons are correct.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q005,Wiki architecture and provenance,completed,5,Complete list of five flagged sources with correct flag details.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q005,Wiki architecture and provenance,completed,5,"All five source IDs and flag details are supplied, including reasons in caveats.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q005,Wiki architecture and provenance,completed,4,"Lists all five IDs and main flags, but omits some source-specific rationale and does not rely on the lint report source.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q006,Wiki architecture and provenance,completed,5,"All five maps and counts are correct, though ordered differently.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q006,Wiki architecture and provenance,completed,5,All five map names and counts are correct.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q006,Wiki architecture and provenance,completed,5,Complete and correct map names and source counts.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q006,Wiki architecture and provenance,completed,5,All five map names and counts are correct.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q006,Wiki architecture and provenance,completed,2,Names the five maps but omits every required source count.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q007,Wiki architecture and provenance,completed,5,"Correct topics and counts, using slug-style names.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q007,Wiki architecture and provenance,completed,5,Correctly identifies highest and lowest topics with counts.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q007,Wiki architecture and provenance,completed,5,Both topic names and counts are correct.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q007,Wiki architecture and provenance,completed,5,Correctly gives Housing Benefit at 15 and Staff Directory at 1.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q007,Wiki architecture and provenance,completed,5,Correct most and fewest topic counts.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q008,Wiki architecture and provenance,completed,5,"Correct entity pages and counts, using filenames plus entity name for DWP.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q008,Wiki architecture and provenance,completed,5,Correctly identifies DWP with 20 and Local Authorities with 16.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q008,Wiki architecture and provenance,completed,5,Both entity names and counts are correct.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q008,Wiki architecture and provenance,completed,5,Correctly states DWP has 20 and Local Authorities has 16.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q008,Wiki architecture and provenance,completed,5,Correct top and second entity page counts.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q009,Wiki architecture and provenance,completed,5,Fully satisfies non-redaction and real-issue flagging requirements.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q009,Wiki architecture and provenance,completed,5,Includes both non-redaction rule and continuing duty to flag real issues.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q009,Wiki architecture and provenance,completed,5,Complete: preserves synthetic identifiers while flagging real secrets/provenance issues.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q009,Wiki architecture and provenance,completed,5,Meets rubric with non-redaction rule and caveat to flag real issues.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q009,Wiki architecture and provenance,completed,5,Correctly covers synthetic fixture treatment and continued flagging duties.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q010,Wiki architecture and provenance,completed,5,Accurate nine-step flow with all key extraction and validation concepts.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q010,Wiki architecture and provenance,completed,5,Ordered ingest/validation flow is complete with required extraction and lint concepts.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q010,Wiki architecture and provenance,completed,5,"Complete ordered flow with named tools, metadata, cross-linking, linting, and vault output.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q010,Wiki architecture and provenance,completed,5,Correct ordered flow with named tools and validation concepts.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q010,Wiki architecture and provenance,completed,5,Complete ordered pipeline summary satisfying the rubric.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q011,"Housing, benefits, homelessness, and CTR",completed,5,Fully matches the required conditions.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q011,"Housing, benefits, homelessness, and CTR",completed,5,Covers all five required eligibility conditions.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q011,"Housing, benefits, homelessness, and CTR",completed,5,"Covers rent, income/benefits, capital, UC housing-cost exclusion, and habitual residence.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q011,"Housing, benefits, homelessness, and CTR",completed,5,All required eligibility conditions are present.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q011,"Housing, benefits, homelessness, and CTR",completed,0,Non-answer; does not provide the required eligibility conditions.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q012,"Housing, benefits, homelessness, and CTR",completed,5,Fully matches the gold answer.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q012,"Housing, benefits, homelessness, and CTR",completed,5,Includes both State Pension age rule and working-age exceptions.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q012,"Housing, benefits, homelessness, and CTR",completed,5,Complete treatment of pension-age claimants and working-age exceptions.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q012,"Housing, benefits, homelessness, and CTR",completed,5,Correctly states pension-age rule and working-age exceptions.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q012,"Housing, benefits, homelessness, and CTR",completed,0,Non-answer; omits both required policy points.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q013,"Housing, benefits, homelessness, and CTR",completed,4,"Correct taper, but cited source is not one of the gold Housing Benefit sources for this question.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q013,"Housing, benefits, homelessness, and CTR",completed,5,Correct 65p per £1 taper and cites a Housing Benefit source.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q013,"Housing, benefits, homelessness, and CTR",completed,5,Correct taper with appropriate Housing Benefit sources.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q013,"Housing, benefits, homelessness, and CTR",completed,5,Correctly states the 65% taper and cites Housing Benefit sources.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q013,"Housing, benefits, homelessness, and CTR",completed,0,Non-answer; omits required 65p per £1 taper.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q014,"Housing, benefits, homelessness, and CTR",completed,5,Complete answer; extra change-of-circumstances point does not conflict.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q014,"Housing, benefits, homelessness, and CTR",completed,5,"Includes local council route, evidence, Monday rule, and one-month/three-month backdating.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q014,"Housing, benefits, homelessness, and CTR",completed,5,Fully satisfies the application and backdating rubric.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q014,"Housing, benefits, homelessness, and CTR",completed,5,Covers all required application and backdating points.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q014,"Housing, benefits, homelessness, and CTR",completed,1,Only identifies the local council route; missing evidence and backdating rules.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q015,"Housing, benefits, homelessness, and CTR",completed,3,"Correct gateway condition but omits required caveats about discretion, statutory right, HB status, or maximum HB.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q015,"Housing, benefits, homelessness, and CTR",completed,5,States gateway condition and multiple required caveats.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q015,"Housing, benefits, homelessness, and CTR",completed,3,"Gateway condition is correct, but the answer text lacks the required DHP caveats; caveats only cover source metadata.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q015,"Housing, benefits, homelessness, and CTR",completed,5,Correct gateway condition and more than two required caveats.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q015,"Housing, benefits, homelessness, and CTR",completed,0,Non-answer; does not provide the gateway condition or caveats.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q016,"Housing, benefits, homelessness, and CTR",completed,5,Complete answer with all required evidence and caveat.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q016,"Housing, benefits, homelessness, and CTR",completed,5,Includes all three mandatory evidence categories and proportionality caveat.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q016,"Housing, benefits, homelessness, and CTR",completed,5,Fully matches evidence and proportionality requirements.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q016,"Housing, benefits, homelessness, and CTR",completed,4,Lists the three mandatory evidence categories but omits the proportionality caveat.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q016,"Housing, benefits, homelessness, and CTR",completed,0,Non-answer; omits mandatory evidence and proportionality caveat.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q017,"Housing, benefits, homelessness, and CTR",completed,5,Complete and accurate against the gold answer.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q017,"Housing, benefits, homelessness, and CTR",completed,5,"Includes bridge-the-gap, eligible-rent cap, and typical 13-week duration.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q017,"Housing, benefits, homelessness, and CTR",completed,5,Fully satisfies the award amount and duration rubric.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q017,"Housing, benefits, homelessness, and CTR",completed,5,"Covers amount, cap, partial award caveat, and 13-week review expectation.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q017,"Housing, benefits, homelessness, and CTR",completed,0,Non-answer; omits all required award-setting rules.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q018,"Housing, benefits, homelessness, and CTR",completed,5,Complete answer matching all required elements.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q018,"Housing, benefits, homelessness, and CTR",completed,5,"Includes notice timing, review independence, audit trail, and quarterly DLUHC returns.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q018,"Housing, benefits, homelessness, and CTR",completed,5,"Fully covers notification, review, audit, and monitoring expectations.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q018,"Housing, benefits, homelessness, and CTR",completed,5,"Correctly includes all notification, review, audit trail, and quarterly return requirements.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q018,"Housing, benefits, homelessness, and CTR",completed,0,Non-answer; none of the required expectations are provided.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q019,"Housing, benefits, homelessness, and CTR",completed,4,"Includes dates, response count, and four percentages, but some topics are less specific than the rubric, especially housing-need indicators and expenditure/outcomes wording.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q019,"Housing, benefits, homelessness, and CTR",completed,5,"Gives date range, 342 responses, and all four headline percentages with topics.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q019,"Housing, benefits, homelessness, and CTR",completed,5,Complete; extra 14% detail does not conflict.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q019,"Housing, benefits, homelessness, and CTR",completed,5,"Fully matches required dates, count, and four percentage findings.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q019,"Housing, benefits, homelessness, and CTR",completed,0,"Non-answer; omits dates, response count, and headline percentages.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q020,"Housing, benefits, homelessness, and CTR",completed,5,"Fully satisfies two-stage model, independence, and timescale requirements.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q020,"Housing, benefits, homelessness, and CTR",completed,5,"Includes both stages, independence requirements, and both timescales.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q020,"Housing, benefits, homelessness, and CTR",completed,5,"Complete answer with useful caveat that this was proposed, not final policy.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q020,"Housing, benefits, homelessness, and CTR",completed,5,Complete and accurate two-stage appeals model.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q020,"Housing, benefits, homelessness, and CTR",completed,0,Non-answer; does not describe the appeals model.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q021,"Housing, benefits, homelessness, and CTR",completed,5,"Includes all required elements: 28 to 56 days, 56-day prevention duty, and 56-day relief duty.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q021,"Housing, benefits, homelessness, and CTR",completed,5,Covers 28-to-56 change and both 56-day prevention and relief duties.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q021,"Housing, benefits, homelessness, and CTR",completed,5,Fully satisfies rubric with the threatened-homelessness change and both duty durations.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q021,"Housing, benefits, homelessness, and CTR",completed,3,"Gets the 28-to-56 change and mentions duties, but omits the required 56-day duration for both prevention and relief duties.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q021,"Housing, benefits, homelessness, and CTR",completed,0,Non-answer; does not provide the required statutory change or duty durations.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q022,"Housing, benefits, homelessness, and CTR",completed,5,Satisfies all rubric requirements with complete duty tests and referral rule/examples.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q022,"Housing, benefits, homelessness, and CTR",completed,5,Includes all four main housing duty tests and consent-based referral with examples.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q022,"Housing, benefits, homelessness, and CTR",completed,5,Fully covers the four tests plus consent-based duty to refer and examples of authorities.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q022,"Housing, benefits, homelessness, and CTR",completed,5,Correctly gives all four main-duty tests and consent-based referral with required examples.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q022,"Housing, benefits, homelessness, and CTR",completed,0,Non-answer; fails to state the tests or duty to refer.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q023,"Housing, benefits, homelessness, and CTR",completed,5,"Fully matches the rubric, including all four reasonable-preference groups.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q023,"Housing, benefits, homelessness, and CTR",completed,5,Covers housing register route and all four reasonable-preference groups.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q023,"Housing, benefits, homelessness, and CTR",completed,5,Complete answer with application route and all reasonable-preference categories.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q023,"Housing, benefits, homelessness, and CTR",completed,5,Gives the housing register route and all four required reasonable-preference groups.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q023,"Housing, benefits, homelessness, and CTR",completed,0,Non-answer; does not summarize the FAQ requirements.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q024,"Housing, benefits, homelessness, and CTR",completed,5,Fully satisfies rubric with all bedroom-standard rules and caveats.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q024,"Housing, benefits, homelessness, and CTR",completed,5,Lists all five base bedroom rules and both extra-bedroom caveats.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q024,"Housing, benefits, homelessness, and CTR",completed,5,Complete response with all base rules and both additional-bedroom cases.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q024,"Housing, benefits, homelessness, and CTR",completed,5,Includes all five base bedroom rules and the two extra-bedroom caveats.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q024,"Housing, benefits, homelessness, and CTR",completed,0,Non-answer; does not provide the listed bedroom-standard rules.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q025,"Housing, benefits, homelessness, and CTR",completed,4,"Gets the date-based 3-year/5-year distinction, but omits that the eligibility section itself still says 3 years and adds an unsupported named Act detail.",1,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q025,"Housing, benefits, homelessness, and CTR",completed,5,"Correctly preserves the 3-year statement, later 5-year rule, and application-date distinction.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q025,"Housing, benefits, homelessness, and CTR",completed,5,Fully satisfies the rubric and explicitly warns not to flatten the conflicting rules.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q025,"Housing, benefits, homelessness, and CTR",completed,5,"Clearly states the older 3-year text, later 5-year rule, and application-date distinction.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q025,"Housing, benefits, homelessness, and CTR",completed,1,"Gives only generic handling advice and omits the required 3-year, 5-year, and cut-off specifics.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q026,"Housing, benefits, homelessness, and CTR",completed,5,"Fully satisfies the required caps, freeze caveat, and five-year repayment scale.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q026,"Housing, benefits, homelessness, and CTR",completed,5,"Includes both caps, freeze caveat, and all five repayment percentages.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q026,"Housing, benefits, homelessness, and CTR",completed,5,"Complete on caps, 2025/26 freeze, and repayment scale.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q026,"Housing, benefits, homelessness, and CTR",completed,5,"Provides both caps, freeze caveat, and all five repayment percentages.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q026,"Housing, benefits, homelessness, and CTR",completed,0,Non-answer; omits all required cap and repayment details.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q027,"Housing, benefits, homelessness, and CTR",completed,4,"Accurate deadlines, but missing the explicit initial step that the tenant submits RTB1 to the landlord.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q027,"Housing, benefits, homelessness, and CTR",completed,4,"Covers all deadlines, but does not explicitly say the tenant submits RTB1 to the landlord.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q027,"Housing, benefits, homelessness, and CTR",completed,4,Includes the deadline sequence but omits the explicit tenant-submits-RTB1 step.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q027,"Housing, benefits, homelessness, and CTR",completed,4,Lists the required deadlines but omits the explicit tenant-submits-RTB1-to-landlord step.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q027,"Housing, benefits, homelessness, and CTR",completed,0,Non-answer; does not provide the required application-process deadlines.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q028,"Housing, benefits, homelessness, and CTR",completed,5,Correctly treats DOC-HB-009 as current and warns DOC-HB-003 is stale/conflicted.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q028,"Housing, benefits, homelessness, and CTR",completed,5,Identifies DOC-HB-009 as current and clearly warns not to rely on DOC-HB-003 as current.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q028,"Housing, benefits, homelessness, and CTR",completed,5,"Fully meets rubric, including DOC-HB-009 replacement language and DOC-HB-003 stale/conflicted warning.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q028,"Housing, benefits, homelessness, and CTR",completed,5,Fully satisfies rubric with current source and stale/conflicted warning.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q028,"Housing, benefits, homelessness, and CTR",completed,4,"Correctly identifies DOC-HB-009 and DOC-HB-003 warning, though wording 'use with caution and cross-check' is weaker than explicitly not relying on DOC-HB-003 as current.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q029,"Housing, benefits, homelessness, and CTR",completed,4,"Complete on deadlines and default-scheme consequence, but omits England-only scope.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q029,"Housing, benefits, homelessness, and CTR",completed,5,"Includes England-only scope, commencement, revision deadline, default consequence, and annual return deadline.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q029,"Housing, benefits, homelessness, and CTR",completed,4,"Gets the dates and default consequence, but omits England-only scope.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q029,"Housing, benefits, homelessness, and CTR",completed,3,"States the three deadlines and caveats England-only scope, but omits 2025-26/subsequent-years applicability and the default-scheme consequence.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q029,"Housing, benefits, homelessness, and CTR",completed,0,Non-answer; does not provide the required deadlines or scope.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q030,"Housing, benefits, homelessness, and CTR",completed,5,Fully matches the required four income changes and both capital limits.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
