source_id,title,author_or_org,publication_date,source_type,url,accessed_date,evidence_grade,claim_supported,relevant_quote_short,limitations_or_bias,used_in_sections,verification_status
"EXT-015","Jules, our asynchronous coding agent, is now available for everyone","Google Labs","2025-08-06","vendor announcement","https://blog.google/innovation-and-ai/models-and-research/google-labs/jules-now-available/","2026-05-09","B","Jules moved out of beta with tiered access and Gemini 2.5-powered asynchronous coding workflows.","Out of beta.","Vendor source; adoption counts are product claims.","02;04","Verified via official Google result; date from result and article context."
"EXT-016","GitHub Introduces Coding Agent For GitHub Copilot","GitHub","2025-05-19","vendor announcement","https://github.com/newsroom/press-releases/coding-agent-for-github-copilot","2026-05-09","B","GitHub introduced an asynchronous Copilot coding agent integrated with GitHub and Actions, with draft PRs and human approval controls.","Available in preview.","Vendor source; task-suitability claims need independent evaluation.","02;04;05","Verified: URL, title, organisation and date checked."
"EXT-017","About GitHub Copilot cloud agent","GitHub Docs","2026","vendor documentation","https://docs.github.com/en/copilot/concepts/agents/coding-agent/about-coding-agent","2026-05-09","B","GitHub documentation describes assigning work to Copilot cloud agent, reviewing diffs and creating pull requests.","Research, plan, branch changes.","Current docs can change; product availability varies by plan and policy.","04;05","Verified via official GitHub Docs search result."
"EXT-018","Claude Code overview","Anthropic","2026","vendor documentation","https://code.claude.com/docs/en/overview","2026-05-09","B","Claude Code is documented as an agentic coding tool available across terminal, IDE, desktop app and browser surfaces.","Reads, edits, runs commands.","Current docs can change; capability does not imply safe production use.","04;05","Verified: URL and title checked."
"EXT-019","Measuring AI Ability to Complete Long Tasks","METR","2025-03-19","evaluation research","https://metr.org/blog/2025-03-19-measuring-ai-ability-to-complete-long-tasks/","2026-05-09","A","Long-task autonomy is better framed by task duration and reliability than by short benchmark success alone.","Task length as capability lens.","METR methodology choices and extrapolation assumptions need caution.","02;04","Verified: URL, title, organisation and date checked."
"EXT-020","Measuring the Impact of Early-2025 AI on Experienced Open-Source Developer Productivity","METR","2025-07-10","randomised controlled trial","https://metr.org/blog/2025-07-10-early-2025-ai-experienced-os-dev-study/","2026-05-09","A","In one realistic experienced-developer setting, early-2025 AI tools slowed task completion despite positive user expectations.","Developers took 19 per cent longer.","Small sample and specific repositories/tools; not a universal negative result.","03","Verified: URL, title, organisation and date checked."
"EXT-021","Why SWE-bench Verified no longer measures frontier coding capabilities","OpenAI","2026-02-23","benchmark critique","https://openai.com/index/why-we-no-longer-evaluate-swe-bench-verified/","2026-05-09","B","OpenAI argued SWE-bench Verified had become unsuitable for frontier launch measurement because of flawed tests and contamination.","Verified increasingly contaminated.","Vendor analysis, but directly relevant to benchmark limitations and model-release incentives.","04","Verified: URL, title, organisation and date checked."
"EXT-022","State of AI-assisted Software Development 2025","DORA","2025","industry survey/report","https://dora.dev/research/2025/dora-report/","2026-05-09","C","DORA provides survey-oriented evidence on AI-assisted software development adoption and delivery effects.","AI-assisted software development.","Survey evidence is self-reported and correlational; not causal procurement evidence.","03","Verified: URL opens and title checked; detailed findings require report download/review."
"EXT-023","AI Playbook for the UK Government","Government Digital Service","2025-02-10","official government guidance","https://www.gov.uk/government/publications/ai-playbook-for-the-uk-government/artificial-intelligence-playbook-for-the-uk-government-html","2026-05-09","A","UK public-sector AI use should include lawful, secure, proportionate use, meaningful human control, lifecycle management and assurance.","10 government AI principles.","General AI guidance, not coding-agent-specific controls.","05;07","Verified: URL, title, organisation and date checked."
"EXT-024","Guidelines for secure AI system development","National Cyber Security Centre","2023","official security guidance","https://www.ncsc.gov.uk/collection/guidelines-secure-ai-system-development","2026-05-09","A","Secure AI systems need secure design, development, deployment, operation and maintenance across the lifecycle.","Four key lifecycle areas.","Guidance addresses AI systems broadly; coding-agent delivery tooling needs local tailoring.","05;07","Verified: URL and title checked."
"EXT-025","Create a secure service which protects users' privacy","GOV.UK Service Manual","2026","official government service standard","https://www.gov.uk/service-manual/service-standard/point-9-create-a-secure-service","2026-05-09","A","Government services must be secure and protect privacy; prototypes need additional evidence before production claims.","Secure service and privacy.","Service Standard applies to services, not all internal experiments; still relevant to production continuation.","05;07","Verified: URL and title checked."
"EXT-026","Secure by Design Policy","Government Security Group","2025","official government security policy","https://www.security.gov.uk/policy-and-guidance/secure-by-design/policy/","2026-05-09","A","Secure by Design requires accountable, risk-informed security activity throughout government digital delivery.","Secure by Design policy.","Scope and mandatory status depend on organisation/service context.","05;07","Verified: URL and title checked."
"EXT-027","Data protection by design and by default","Information Commissioner's Office","2026","official data-protection guidance","https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/accountability-and-governance/guide-to-accountability-and-governance/data-protection-by-design-and-by-default/","2026-05-09","A","Privacy and data-protection controls should be designed in from the start, not added after deployment.","By design and default.","General UK GDPR guidance; specific DPIA/legal advice depends on use case.","05;07","Verified: URL and title checked."
"EXT-028","Amazon Q Developer rename - Summary of changes","AWS Documentation","2024-04-30","vendor documentation","https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/service-rename.html","2026-05-09","B","Amazon CodeWhisperer became part of Amazon Q Developer on 30 April 2024.","CodeWhisperer became Q Developer.","Vendor documentation; capability and naming only.","02","Verified via official AWS Docs search result."
"REPO-001","Challenge 2 Dark Data Implementation","Repository README","2026-04","repo-local evidence","README.md:3 (https://github.com/chris-page-gov/ai-engineering-lab-hackathon-london-2026/blob/d5aa7c9688f2a703cc6665344a37d5e7cb0fe50f/README.md#L3)","2026-05-09","A","The repo is a worked Challenge 2 implementation with wiki, workbench, evaluation harness, MCP tooling and postmortem evidence.","Worked Challenge 2 implementation.","README is project narrative; corroborate with implementation files and reports.","00;06;07","Verified locally."
"REPO-002","Challenge 2: Unlocking the dark data","Repository challenge brief","2026-04","repo-local evidence","challenge-02-unlocking-the-dark-data.md:1 (https://github.com/chris-page-gov/ai-engineering-lab-hackathon-london-2026/blob/d5aa7c9688f2a703cc6665344a37d5e7cb0fe50f/challenge-02-unlocking-the-dark-data.md#L1)","2026-05-09","A","The problem is government guidance and policy material that exists but is hard to find, structure and use safely.","Published is not findable.","Challenge brief is a problem statement, not evidence of prototype performance.","00;06","Verified locally."
"REPO-003","Repository Operating Rules","Repository AGENTS.md","2026-04","repo-local governance","AGENTS.md:5 (https://github.com/chris-page-gov/ai-engineering-lab-hackathon-london-2026/blob/d5aa7c9688f2a703cc6665344a37d5e7cb0fe50f/AGENTS.md#L5)","2026-05-09","A","Repository rules require documentation lockstep, immutable source data, narrow validation and synthetic fixture handling.","Documentation lockstep.","Rules express intended process; evidence of adherence comes from tracking docs and validation.","06;07","Verified locally."
"REPO-004","Challenge 2 LLM Wiki Operating Rules","challenge-2/AGENTS.md","2026-04","repo-local governance","challenge-2/AGENTS.md:7 (https://github.com/chris-page-gov/ai-engineering-lab-hackathon-london-2026/blob/d5aa7c9688f2a703cc6665344a37d5e7cb0fe50f/challenge-2/AGENTS.md#L7)","2026-05-09","A","Challenge 2 rules define raw sources as read-only and generated wiki claims as traceable to source notes and paths.","Raw sources are read-only.","Rules do not prove every generated claim is correct; they set the operating contract.","06;07","Verified locally."
"REPO-005","Context","Repository tracking document","2026-04","repo-local tracking","Context.md:3 (https://github.com/chris-page-gov/ai-engineering-lab-hackathon-london-2026/blob/d5aa7c9688f2a703cc6665344a37d5e7cb0fe50f/Context.md#L3)","2026-05-09","A","Context records project purpose, architecture assumptions, data assumptions, important paths and evaluation/audit assumptions.","Project purpose and assumptions.","Living document; must be read with code and reports.","06;07","Verified locally."
"REPO-006","Progress","Repository tracking document","2026-04","repo-local tracking","Progress.md:3 (https://github.com/chris-page-gov/ai-engineering-lab-hackathon-london-2026/blob/d5aa7c9688f2a703cc6665344a37d5e7cb0fe50f/Progress.md#L3)","2026-05-09","A","Progress records completed work, current validation evidence, evaluation results and next steps.","Validation and status.","Long living document; may include historical entries.","06","Verified locally."
"REPO-007","Changelog","Repository tracking document","2026-04","repo-local tracking","Changelog.md:1 (https://github.com/chris-page-gov/ai-engineering-lab-hackathon-london-2026/blob/d5aa7c9688f2a703cc6665344a37d5e7cb0fe50f/Changelog.md#L1)","2026-05-09","A","Changelog records meaningful repository changes and documentation lockstep entries.","Dated change history.","Useful chronology but may summarise rather than prove each behaviour.","06","Verified locally."
"REPO-008","Challenge 2 Knowledge Base Index","challenge-2/wiki/index.md","2026-04-16","generated repo artifact","challenge-2/wiki/index.md:17 (https://github.com/chris-page-gov/ai-engineering-lab-hackathon-london-2026/blob/d5aa7c9688f2a703cc6665344a37d5e7cb0fe50f/challenge-2/wiki/index.md#L17)","2026-05-09","A","The generated wiki includes 43 sources across six formats, topic pages, entity pages, maps and source-register links.","43 sources across formats.","Generated artifact; correctness depends on builder and review.","06","Verified locally."
"REPO-009","Challenge 2 Architecture","challenge-2/wiki/architecture.md","2026-04-16","generated repo artifact","challenge-2/wiki/architecture.md:23 (https://github.com/chris-page-gov/ai-engineering-lab-hackathon-london-2026/blob/d5aa7c9688f2a703cc6665344a37d5e7cb0fe50f/challenge-2/wiki/architecture.md#L23)","2026-05-09","A","The architecture keeps raw documents untouched and uses a repeatable builder to create source notes, topics, entities, maps, data and lint reports.","Raw source, generated layer.","Generated documentation; corroborated by builder and file tree.","06;07","Verified locally."
"REPO-010","Dark Data Workbench","challenge-2/wiki/workbench.md","2026-04-16","generated repo artifact","challenge-2/wiki/workbench.md:16 (https://github.com/chris-page-gov/ai-engineering-lab-hackathon-london-2026/blob/d5aa7c9688f2a703cc6665344a37d5e7cb0fe50f/challenge-2/wiki/workbench.md#L16)","2026-05-09","A","The workbench supports question capture, search, facets, source cards, context sets, Browser AI export and MCP context export.","State question, filter, inspect.","Documentation of implementation; corroborate with workbench code/tests.","06","Verified locally."
"REPO-011","Challenge 2 Demonstration Guide","challenge-2/wiki/demonstration-guide.md","2026-04-16","generated repo artifact","challenge-2/wiki/demonstration-guide.md:17 (https://github.com/chris-page-gov/ai-engineering-lab-hackathon-london-2026/blob/d5aa7c9688f2a703cc6665344a37d5e7cb0fe50f/challenge-2/wiki/demonstration-guide.md#L17)","2026-05-09","A","The demo route centres provenance as the product and shows source corpus, Obsidian validation, workbench, Browser AI export, benchmark and audit pack.","Provenance is the product.","Demo guide is a narrative artifact, not production evidence.","00;06","Verified locally."
"REPO-012","Challenge 2 Wiki Evaluation Benchmark","challenge-2/wiki/evaluation-benchmark.md","2026-04-16","benchmark artifact","challenge-2/wiki/evaluation-benchmark.md:80 (https://github.com/chris-page-gov/ai-engineering-lab-hackathon-london-2026/blob/d5aa7c9688f2a703cc6665344a37d5e7cb0fe50f/challenge-2/wiki/evaluation-benchmark.md#L80)","2026-05-09","A","The repo contains a 100-question wiki-only benchmark with 0-5 rubrics, gold answers, source IDs and scoring caps.","100 questions, 500 points.","Benchmark is local and synthetic; does not measure production readiness.","06","Verified locally."
"REPO-013","Challenge 2 Wiki Evaluation Harness","challenge-2/evaluation/README.md","2026-04","runbook artifact","challenge-2/evaluation/README.md:147 (https://github.com/chris-page-gov/ai-engineering-lab-hackathon-london-2026/blob/d5aa7c9688f2a703cc6665344a37d5e7cb0fe50f/challenge-2/evaluation/README.md#L147)","2026-05-09","A","The harness records prompts, answers, source access, audit cards, manifests and DSAP-style bundles for model comparison.","DSAP-shaped audit pack.","Raw runs are external and ignored by Git; committed reports are summaries.","06","Verified locally."
"REPO-014","Challenge 2 Wiki Evaluation: MCP Comparison","Evaluation report","2026-04-19","repo-local evaluation report","challenge-2/evaluation/reports/validated-full-20260419T2225Z-comparison.md:37 (https://github.com/chris-page-gov/ai-engineering-lab-hackathon-london-2026/blob/d5aa7c9688f2a703cc6665344a37d5e7cb0fe50f/challenge-2/evaluation/reports/validated-full-20260419T2225Z-comparison.md#L37)","2026-05-09","A","Validated run summary reports 100/100 effective completions for Codex, Codex-MCP, Claude and Microsoft Copilot, with Gemini quota-limited and Copilot CLI policy-blocked.","Rubric-scored leaderboard.","Local synthetic benchmark; scoring needs independent moderation for official comparative claims.","03;06","Verified locally."
"REPO-015","Challenge 2 Wiki Evaluation Rubric Leaderboard","Evaluation report","2026-04-19","repo-local evaluation report","challenge-2/evaluation/reports/validated-full-20260419T2225Z-rubric-leaderboard.md:11 (https://github.com/chris-page-gov/ai-engineering-lab-hackathon-london-2026/blob/d5aa7c9688f2a703cc6665344a37d5e7cb0fe50f/challenge-2/evaluation/reports/validated-full-20260419T2225Z-rubric-leaderboard.md#L11)","2026-05-09","A","The committed leaderboard records public-safe rubric scores without raw prompts or raw answer text.","Codex 484/500.","Not an official benchmark; scored against a local synthetic wiki benchmark.","06","Verified locally."
"REPO-016","Challenge 2 Realtime Delivery Report","Team DSIT A","2026-04-17","repo-local delivery report","output/doc/challenge-2-realtime-delivery-report.md:16 (https://github.com/chris-page-gov/ai-engineering-lab-hackathon-london-2026/blob/d5aa7c9688f2a703cc6665344a37d5e7cb0fe50f/output/doc/challenge-2-realtime-delivery-report.md#L16)","2026-05-09","A","The delivery report reconstructs the 2026-04-16 build sequence and validation from repo history, logs and postmortem evidence.","Continuous build on 2026-04-16.","Contains some private-source summary; use committed repo chronology for public claims.","06","Verified locally."
"REPO-017","Codex Contribution Modes and Government Security Assessment","Team DSIT A","2026-04-18","repo-local assessment","output/doc/codex-contribution-modes-security-assessment.md:13 (https://github.com/chris-page-gov/ai-engineering-lab-hackathon-london-2026/blob/d5aa7c9688f2a703cc6665344a37d5e7cb0fe50f/output/doc/codex-contribution-modes-security-assessment.md#L13)","2026-05-09","A","The assessment concludes Codex was strong for Explorer, Builder, Refiner and Verifier, but not final authority for Security Steward or autonomous Operator work.","Not autonomous Operator.","Repo-local first-pass assessment, not formal government assurance.","05;06;07","Verified locally."
"REPO-018","Public Codex Collaboration Postmortem","Team DSIT A","2026-04","repo-local postmortem","postmortem-public/wiki/postmortem.md:12 (https://github.com/chris-page-gov/ai-engineering-lab-hackathon-london-2026/blob/d5aa7c9688f2a703cc6665344a37d5e7cb0fe50f/postmortem-public/wiki/postmortem.md#L12)","2026-05-09","A","The public postmortem records human framing and Codex contributions while keeping raw transcripts out of Git.","Human goal and constraints.","Redacted derivative; raw transcript archive is not published.","06","Verified locally."
"REPO-019","Contribution Modes in Software Work","Team DSIT A / BDUK proposal","2026-04-03","repo-local proposal","output/doc/contribution-modes-proposal.md:86 (https://github.com/chris-page-gov/ai-engineering-lab-hackathon-london-2026/blob/d5aa7c9688f2a703cc6665344a37d5e7cb0fe50f/output/doc/contribution-modes-proposal.md#L86)","2026-05-09","A","The contribution-mode frame maps software work to purpose, tooling, authority, assurance and evidence rather than a generic developer role.","Authority by mode and task.","Proposal, not independent empirical evidence.","06;07","Verified locally."
"REPO-020","Challenge 2 wiki builder","challenge-2/tools/build_wiki.py","2026-04","repo-local source code","challenge-2/tools/build_wiki.py:1553 (https://github.com/chris-page-gov/ai-engineering-lab-hackathon-london-2026/blob/d5aa7c9688f2a703cc6665344a37d5e7cb0fe50f/challenge-2/tools/build_wiki.py#L1553)","2026-05-09","A","The source code is the repeatable generator for Challenge 2 source notes, data exports and lint outputs.","Repeatable generator.","Static inspection only for this pack; no regenerated output requested.","06","Verified locally."
"REPO-021","Dark Data Workbench README","challenge-2/workbench/README.md","2026-04","repo-local runbook","challenge-2/workbench/README.md:3 (https://github.com/chris-page-gov/ai-engineering-lab-hackathon-london-2026/blob/d5aa7c9688f2a703cc6665344a37d5e7cb0fe50f/challenge-2/workbench/README.md#L3)","2026-05-09","A","The workbench runbook documents local setup, validation commands and the browser workbench purpose.","Run and validation commands.","Runbook, not a live validation result.","06","Verified locally."
"REPO-022","Workbench UI tests","challenge-2/workbench/tests/ui/workbench.spec.ts","2026-04","repo-local test code","challenge-2/workbench/tests/ui/workbench.spec.ts:122 (https://github.com/chris-page-gov/ai-engineering-lab-hackathon-london-2026/blob/d5aa7c9688f2a703cc6665344a37d5e7cb0fe50f/challenge-2/workbench/tests/ui/workbench.spec.ts#L122)","2026-05-09","A","Playwright tests cover intended workbench UI flows, evidence controls and browser behaviour.","UI test coverage.","Test presence does not prove all accessibility or production risks are covered.","06","Verified locally."
